"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","성과 규칙 (선택 사항)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
ncs04,ncs04-1,자아인식능력,"<p>자신의 흥미, 적성, 특성 등을 이해하고, 이를 바탕으로 자신에게 필요한 것을 이해하는 능력<br /></p><p></p><ul><li>자기이해</li><li>자신의 능력 표현</li><li>자신의 능력발휘 방법 인식</li></ul><br /><p></p>",1,,,,0,null,,22,,
ncs04,ncs04-2,자기관리능력,"<p>업무에 필요한 자질을 지닐 수 있도록 스스로를 관리하는 능력<br /></p><p></p><ul><li>개인의 목표 정립(동기화)</li><li>자기통제</li><li>자기관리 규칙의 주도적인 실천</li></ul><br /><p></p>",1,,,,0,null,,23,,
ncs04,ncs04-3,경력개발능력,"<p>끊임없는 자기 개발을 위해서 동기를 갖고 학습하는 능력<br /></p><p></p><ul><li>삶과 직업세계에 대한 이해</li><li>경력개발 계획 수립</li><li>경력전략의 개발 및 실행</li></ul><br /><p></p>",1,,,,0,null,,24,,
ncs05,ncs05-1,시간관리능력,"<p>업무 수행에 필요한 시간자원이 얼마나 필요한지를 확인하고, 이용 가능한 시간자원을 최대한 수집하여 실제 업무에 어떻게 활용할 것인지를 계획하고 할당하는 능력<br /></p><p></p><ul><li>시간자원 확인</li><li>시간자원 확보</li><li>시간자원 활용게획 수립</li><li>시간자원 할당</li></ul><br /><p></p>",1,,,,0,null,,25,,
ncs05,ncs05-2,예산관리능력,"<p>업무 수행에 필요한 자본자원이 얼마나 필요한지를 확인하고, 이용 가능한 자본자원을 최대한 수집하여 실제 업무에 어떻게 활용할 것인지를 계획하고 할당하는 능력<br /></p><p></p><ul><li>예산 확인</li><li>예산 할당</li></ul><br /><p></p>",1,,,,0,null,,26,,
ncs05,ncs05-3,물적자원관리능력,"<p>업무수행에 필요한 재료 및 시설자원이 얼마나 필요한지를 확인하고, 이용 가능한 재료 및 시설자원을 최대한 수집하여 실제 업무에 어떻게 활용할 것인지를 계획하고 할당하는 능력<br /></p><p></p><ul><li>물적자원 확인</li><li>물적 자원 할당</li></ul><br /><p></p>",1,,,,0,null,,27,,
ncs05,ncs05-4,인적자원관리능력,"<p>업무수행에 필요한 인적자원이 얼마나 필요한지를 확인하고, 이용 가능한 인적자원을 최대한 수집하여 실제 업무에 어떻게 활용할 것인지를 계획하고, 할당하는 능력<br /></p><p></p><ul><li>인적자원 확인</li><li>인적자원 할당</li></ul><br /><p></p>",1,,,,0,null,,28,,
ncs06,ncs06-1,팀웍능력,"<p><span>다양한 배경을 가진 사람들과 함께 업무를 수행하는 능력</span><br /></p><p><span></span></p><ul><li>적극적 참여</li><li>업무 공유</li><li>팀구성원으로서의 책임감</li></ul><br /><p></p>",1,,,,0,null,,29,,
ncs06,ncs06-2,리더십능력,"<p>업무를 수행함에 있어 다른 사람을 이끄는 능력<br /></p><p></p><ul><li>동기화시키기</li><li>논리적인 의견 표현</li><li>신뢰감 구축</li></ul><br /><p></p>",1,,,,0,null,,30,,
ncs06,ncs06-3,갈등관리능력,"<p>업무를 수행함에 있어 관련된 사람들을 사이에 갈등이 발생하였을 경우 이를 원만히 조절하는 능력<br /></p><p></p><ul><li>타인의 생각 및 감정 이해</li><li>타인에 대한 배려</li><li>피드백 제공 및 받기</li></ul><br /><p></p>",1,,,,0,null,,31,,
ncs06,ncs06-4,협상능력,"<p>업무를 수행함에 있어 다른 사람과 협상하는 능력<br /></p><p></p><ul><li>다양한 의견 수렴</li><li>협상가능한 실질적 목표 구축</li><li>최선의 타협방법 찾기</li></ul><br /><p></p>",1,,,,0,null,,32,,
ncs06,ncs06-5,고객서비스능력,"고객의 요구를 민족시키는 자세로 업무를 수행하는 능력<p><br /></p>",1,,,,0,null,,33,,
ncs07,ncs07-1,컴퓨터활용능력,"<p>업무와 관련된 정보를 수집, 분석, 조직, 관리, 활용하는데 있어 컴퓨터를 사용하는 능력<br /></p><p></p><ul><li>컴퓨터 이론</li><li>인터넷 사용</li><li>소프트웨어 사용</li></ul><br /><p></p>",1,,,,0,null,,34,,
ncs07,ncs07-2,정보처리능력,"<p>업무와 관련된 정보를 수집하고, 이를 분석하여 의미 있는 정보를 찾아내며, 의미 있는 정보를 업무수행에 적절하도록 조직하고, 조직된 정보를 관리하며, 업무 수행에 이러한 정보를 활용하는 능력<br /></p><p></p><ul><li>정보 수집</li><li>정보 분석</li><li>정보 관리</li></ul><br /><p></p>",1,,,,0,null,,35,,
ncs08,ncs08-1,기술이해능력,"<p>업무에 수행에 필요한 기술적 원리를 올바르게 이해하는 능력<br /></p><p></p><ul><li>기술의 원리와 절차 이해</li><li>기술 활용 결과 예측</li><li>활용 가능한 자원 및 여건 이해</li></ul><br /><p></p>",1,,,,0,null,,36,,
ncs08,ncs08-2,기술선택능력,"<p>도구, 장치를 포함하여 업무 수행에 필요한 기술을 선택하는 능력<br /></p><p></p><ul><li>기술 비교, 검토</li><li>최적의 기술 선택</li></ul><br /><p></p>",1,,,,0,null,,37,,
ncs08,ncs08-3,기술적용능력,"<p>업무 수행에 필요한 기술을 업무 수행에 실제로 적용하는 능력<br /></p><p></p><ul><li>기술의 효과적 활용</li><li>기술 적용 결과 평가</li><li>기술 유지와 조정</li></ul><br /><p></p>",1,,,,0,null,,38,,
ncs09,ncs09-1,국제감각,"<p>주어진 업무에 관한 국제적인 추세를 이해하는 능력<br /></p><p></p><ul><li>국제적인 동향 이해</li><li>국제적인 시각으로 업무 추진</li><li>국제적 상황 변화에 대처</li></ul><br /><p></p>",1,,,,0,null,,39,,
ncs09,ncs09-2,조직체제이해능력,"<p>업무 수행과 관련하여 조직의 체제를 올바르게 이해하는 능력<br /></p><p></p><ul><li>조직의 구조 이해</li><li>조직의 규칙과 절차 파악</li><li>조직간의 관계 이해</li></ul><br /><p></p>",1,,,,0,null,,40,,
ncs09,ncs09-3,경영이해능력,"<p>사업이나 조직의 경영에 대해 이해하는 능력<br /></p><p></p><ul><li>조직의 방향성 예측</li><li>경영조정(조직의 방향성을 바로잡기에 필요한 행위 하기)</li><li>생산성 향상 방법</li></ul><br /><p></p>",1,,,,0,null,,41,,
ncs09,ncs09-4,업무이해능력,"<p>조직의 업무를 이해하는 능력<br /></p><p></p><ul><li>업무의 우선순위 파악</li><li>업무활동 조직 및 계획</li><li>업무수행의 결과 평가</li></ul><br /><p></p>",1,,,,0,null,,42,,
ncs10,ncs10-1,근로윤리,"<p>업무에 대한 존중을 바탕으로 근면하고 성실하고 정직하게 업무에 임하는 자세<br /></p><p></p><ul><li>근면성</li><li>정직성</li><li>성실성</li></ul><br /><p></p>",1,,,,0,null,,43,,
ncs10,ncs10-2,공동체윤리,"<p>인간 존중을 바탕으로 봉사하며, 책임있고, 규칙을 준수하며 예의 바른 태도로 업무에 임하는 자세<br /></p><p></p><ul><li>봉사정신</li><li>책임 의식</li><li>준법성</li><li>직장 예절</li></ul><br /><p></p>",1,,,,0,null,,44,,
